country,year,sovereignrating
Argentina,1992,40
Argentina,1993,40
Argentina,1994,40
Argentina,1995,40
Argentina,1996,40
Argentina,1997,45
Argentina,1998,45
Argentina,1999,42.5
Argentina,2000,43.75
Argentina,2001,24.09091
Argentina,2002,24.09091
Argentina,2003,20
Argentina,2004,20
Argentina,2005,25
Argentina,2006,35
Argentina,2007,32.5
Argentina,2008,30.833334
Argentina,2009,40
Argentina,2010,30
Argentina,2011,35
Argentina,2012,27.5
Argentina,2013,28.333334
Argentina,2014,20
Argentina,2015,20
Argentina,2016,28
Australia,1992,90
Australia,1993,90
Australia,1994,90
Australia,1995,90
Australia,1996,90
Australia,1997,90
Australia,1998,90
Australia,1999,90
Australia,2000,95
Australia,2001,90
Australia,2002,90
Australia,2003,90
Australia,2004,97.5
Australia,2005,97.5
Australia,2006,100
Australia,2007,100
Australia,2008,100
Australia,2009,100
Australia,2010,100
Australia,2011,100
Australia,2012,96.666664
Australia,2013,100
Australia,2014,100
Australia,2015,100
Australia,2016,100
Austria,1992,100
Austria,1993,100
Austria,1994,100
Austria,1995,100
Austria,1996,100
Austria,1997,100
Austria,1998,100
Austria,1999,100
Austria,2000,100
Austria,2001,100
Austria,2002,100
Austria,2003,100
Austria,2004,100
Austria,2005,100
Austria,2006,100
Austria,2007,100
Austria,2008,100
Austria,2009,100
Austria,2010,100
Austria,2011,100
Austria,2012,99.444443
Austria,2013,99
Austria,2014,99
Austria,2015,99
Austria,2016,99
Bangladesh,1992,
Bangladesh,1993,
Bangladesh,1994,
Bangladesh,1995,
Bangladesh,1996,
Bangladesh,1997,
Bangladesh,1998,
Bangladesh,1999,
Bangladesh,2000,
Bangladesh,2001,
Bangladesh,2002,
Bangladesh,2003,
Bangladesh,2004,
Bangladesh,2005,
Bangladesh,2006,
Bangladesh,2007,
Bangladesh,2008,
Bangladesh,2009,
Bangladesh,2010,40
Bangladesh,2011,40
Bangladesh,2012,40
Bangladesh,2013,40
Bangladesh,2014,40
Bangladesh,2015,40
